policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported_bin,incident_month,incident_dayofweek,claim_to_premium_ratio
MI,300,1390.42,20,FEMALE,High School,Clerk,movies,Parked Car,Front,Minor Damage,Fire,NC,3,2,3,0,No,10019.09,11278.68,0,1,6,7.205801124839976
NC,800,729.34,70,OTHER,PhD,Lawyer,movies,Single Vehicle Collision,Side,Major Damage,Fire,PA,13,2,3,1,Yes,4861.93,4743.35,0,4,6,6.66620506211095
PA,300,646.95,40,MALE,Masters,Lawyer,camping,Vehicle Theft,Rear,Major Damage,Ambulance,NY,11,3,3,1,No,6652.4,7069.89,0,5,1,10.282711183244453
MI,200,718.44,56,OTHER,PhD,Clerk,hiking,Vehicle Theft,Side,Major Damage,Ambulance,GA,15,4,3,3,No,23667.85,24835.23,0,6,1,32.94339123656812
GA,800,608.92,49,FEMALE,Masters,Doctor,chess,Single Vehicle Collision,Front,Minor Damage,None,CA,19,4,2,3,No,3792.18,3585.29,0,12,3,6.227714642317546
PA,700,671.0,53,FEMALE,College,Lawyer,movies,Multi-vehicle Collision,Front,Total Loss,Fire,OH,3,3,1,2,Yes,4123.35,3737.25,0,3,0,6.145081967213115
MI,500,966.04,57,MALE,High School,Clerk,paintball,Single Vehicle Collision,Unknown,Total Loss,Fire,IL,15,3,1,0,No,3996.2,3588.37,1,9,5,4.1366817109022405
NC,300,1302.13,61,FEMALE,Masters,Sales,chess,Parked Car,Unknown,Total Loss,Ambulance,OH,0,3,0,2,Yes,10693.37,17627.85,1,3,3,8.21221383425618
OH,600,703.81,21,OTHER,PhD,Teacher,movies,Multi-vehicle Collision,Unknown,Total Loss,None,NC,11,1,1,1,Yes,732.26,995.25,0,11,6,1.040422841391853
TX,500,828.84,67,MALE,College,Sales,yachting,Multi-vehicle Collision,Unknown,Major Damage,Fire,PA,2,4,1,5,Yes,6256.46,5447.62,0,7,5,7.5484532599778005
IL,400,716.02,67,OTHER,College,Sales,camping,Single Vehicle Collision,Front,Minor Damage,Police,FL,10,4,4,3,No,7414.66,9375.33,0,3,0,10.355381134605178
GA,700,816.19,60,OTHER,High School,Clerk,movies,Single Vehicle Collision,Front,Major Damage,Ambulance,NC,12,3,3,3,Yes,8459.87,10446.51,0,7,0,10.365074308678127
FL,1000,936.5,22,FEMALE,PhD,Lawyer,camping,Parked Car,Front,Major Damage,Ambulance,MI,2,4,2,1,No,8134.75,8683.22,0,1,4,8.686332087560064
TX,500,1117.58,60,MALE,College,Teacher,camping,Multi-vehicle Collision,Front,Major Damage,Police,IL,6,1,3,3,Yes,3911.4,6697.97,0,2,0,3.4998836772311606
IL,300,1135.09,66,FEMALE,College,Teacher,hiking,Multi-vehicle Collision,Rear,Minor Damage,Fire,NC,2,3,2,1,Yes,3114.51,3064.67,0,11,2,2.743844100467805
FL,600,1367.65,50,OTHER,PhD,Sales,chess,Multi-vehicle Collision,Rear,Minor Damage,Police,NC,3,2,0,1,No,12350.69,10978.65,0,10,1,9.030592622381457
OH,700,1085.72,23,OTHER,College,Engineer,yachting,Multi-vehicle Collision,Unknown,Major Damage,None,PA,7,4,3,3,No,2372.91,2241.28,1,11,3,2.185563497034226
FL,700,763.53,73,MALE,PhD,Clerk,movies,Vehicle Theft,Side,Total Loss,Ambulance,NY,0,3,1,1,Yes,7414.74,8792.5,0,9,0,9.71113119327335
NY,500,1154.68,75,FEMALE,High School,Engineer,camping,Single Vehicle Collision,Front,Total Loss,Fire,CA,3,3,3,0,Yes,12593.11,14351.93,1,11,5,10.906147157654068
GA,1000,1486.68,22,MALE,High School,Technician,paintball,Parked Car,Rear,Total Loss,None,OH,3,1,1,5,Yes,16610.38,23582.41,0,2,2,11.172801140796944
OH,200,1457.56,19,FEMALE,PhD,Teacher,yachting,Multi-vehicle Collision,Unknown,Major Damage,Ambulance,MI,16,2,1,3,No,15177.09,18813.77,0,6,6,10.412669118252422
GA,400,609.92,66,MALE,Masters,Engineer,paintball,Single Vehicle Collision,Front,Total Loss,Ambulance,TX,9,4,0,1,Yes,12628.98,11820.21,0,10,6,20.705961437565584
NY,500,1199.69,27,OTHER,PhD,Manager,reading,Single Vehicle Collision,Rear,Minor Damage,Ambulance,OH,4,2,3,1,Yes,18347.94,17500.74,0,11,5,15.29390092440547
MI,700,773.5,45,MALE,Masters,Engineer,camping,Parked Car,Side,Minor Damage,None,PA,23,3,0,5,Yes,6668.73,11143.05,0,6,5,8.621499676793794
CA,200,1266.1,63,FEMALE,High School,Technician,hiking,Single Vehicle Collision,Rear,Major Damage,Ambulance,NY,19,3,4,3,Yes,13108.39,15118.03,0,1,1,10.353360714003633
GA,400,1393.88,75,OTHER,High School,Technician,paintball,Vehicle Theft,Rear,Minor Damage,None,NY,5,4,4,0,No,415.43,725.67,0,6,0,0.2980385685998794
FL,800,1118.69,59,FEMALE,Masters,Technician,paintball,Vehicle Theft,Unknown,Minor Damage,None,NC,18,3,4,5,No,3737.67,4917.86,0,9,0,3.3411132664098186
PA,300,1087.62,66,FEMALE,College,Clerk,reading,Multi-vehicle Collision,Rear,Total Loss,Police,NC,19,4,1,0,Yes,717.0,629.92,0,1,5,0.6592376013681249
TX,700,756.76,74,OTHER,High School,Engineer,movies,Single Vehicle Collision,Rear,Total Loss,None,MI,22,2,4,5,Yes,21231.19,23816.23,0,2,1,28.05538083408214
IL,600,1274.04,52,OTHER,College,Manager,movies,Multi-vehicle Collision,Rear,Major Damage,Fire,FL,8,1,1,3,No,10221.46,10862.13,0,7,3,8.022872123324229
IL,800,730.8,57,FEMALE,PhD,Technician,camping,Parked Car,Unknown,Minor Damage,None,IL,0,3,4,5,No,14408.17,12012.22,1,11,1,19.715613026819923
GA,400,700.29,51,MALE,High School,Lawyer,camping,Parked Car,Unknown,Minor Damage,None,NY,2,3,4,2,Yes,15068.2,17481.34,0,6,0,21.517085778748807
GA,500,701.99,75,MALE,College,Technician,reading,Multi-vehicle Collision,Rear,Major Damage,Police,MI,11,2,0,0,No,6394.17,5347.23,0,10,0,9.108634026125728
TX,700,837.72,40,OTHER,PhD,Clerk,chess,Vehicle Theft,Unknown,Minor Damage,Police,IL,14,1,4,3,Yes,22664.17,23934.59,0,11,5,27.054588645370764
OH,700,732.28,74,FEMALE,Masters,Sales,chess,Single Vehicle Collision,Rear,Major Damage,Ambulance,FL,18,2,1,4,Yes,5246.37,5141.7,0,3,0,7.164431638171192
OH,600,1396.98,22,OTHER,PhD,Engineer,yachting,Parked Car,Rear,Minor Damage,Police,CA,0,2,4,4,Yes,8476.51,16482.74,0,3,0,6.067738979799281
GA,300,1074.6,24,FEMALE,College,Manager,movies,Single Vehicle Collision,Front,Minor Damage,Fire,CA,5,4,3,1,Yes,14858.36,16652.84,0,8,4,13.826875116322354
CA,500,1478.66,43,MALE,PhD,Clerk,paintball,Multi-vehicle Collision,Front,Major Damage,None,TX,10,4,4,4,No,29290.15,24609.77,1,11,0,19.80857668429524
GA,200,1242.1,26,MALE,PhD,Clerk,yachting,Parked Car,Rear,Total Loss,Fire,TX,22,3,1,2,Yes,16753.73,18264.0,0,2,3,13.48822961114242
TX,200,883.43,48,FEMALE,Masters,Clerk,yachting,Parked Car,Side,Minor Damage,None,NY,13,2,3,4,No,13944.42,23271.48,0,1,5,15.784408498692597
NC,400,1255.81,57,OTHER,PhD,Clerk,hiking,Parked Car,Front,Minor Damage,Ambulance,GA,19,2,2,3,No,13277.94,19693.37,0,7,6,10.573207730468782
OH,800,775.64,33,OTHER,Masters,Sales,paintball,Parked Car,Rear,Total Loss,None,FL,19,2,2,0,Yes,8387.44,11362.36,0,4,4,10.813573307204374
OH,400,998.67,71,MALE,Masters,Teacher,movies,Parked Car,Rear,Minor Damage,Ambulance,NY,9,1,0,1,Yes,14722.71,14061.49,0,2,3,14.74231728198504
IL,300,730.32,46,OTHER,College,Lawyer,movies,Vehicle Theft,Side,Major Damage,Fire,IL,13,3,1,5,Yes,14154.06,20600.77,0,4,6,19.380627670062438
IL,200,1085.54,37,OTHER,College,Lawyer,hiking,Parked Car,Side,Major Damage,Police,GA,23,4,4,3,No,10040.72,17267.53,0,10,1,9.249516369733035
NC,200,1341.22,37,MALE,PhD,Lawyer,reading,Parked Car,Unknown,Major Damage,Police,OH,11,4,2,4,Yes,3962.74,4191.98,0,7,6,2.9545786671836085
CA,700,722.12,42,OTHER,PhD,Clerk,yachting,Single Vehicle Collision,Side,Minor Damage,Police,OH,5,2,1,2,Yes,7155.08,12605.99,0,8,3,9.908436270979893
OH,700,1247.27,62,OTHER,College,Doctor,camping,Vehicle Theft,Rear,Major Damage,Fire,NY,11,3,4,1,No,2413.97,2732.34,0,3,4,1.9354029199772302
OH,500,737.33,72,FEMALE,Masters,Engineer,yachting,Single Vehicle Collision,Unknown,Minor Damage,Fire,NY,14,3,2,5,Yes,19303.25,18771.46,0,4,3,26.17993300150543
TX,300,985.97,65,MALE,PhD,Engineer,chess,Single Vehicle Collision,Unknown,Major Damage,Ambulance,PA,3,1,1,2,Yes,8758.42,7703.47,0,5,2,8.883049179995334
OH,300,643.69,74,FEMALE,PhD,Manager,reading,Single Vehicle Collision,Side,Major Damage,Police,PA,5,2,0,2,No,5105.71,9472.7,0,3,0,7.931939287545246
NC,600,695.07,71,MALE,High School,Engineer,reading,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,NY,12,4,0,2,No,12188.03,13577.21,0,3,3,17.534967701094853
GA,800,945.72,51,MALE,High School,Clerk,reading,Parked Car,Unknown,Major Damage,None,IL,3,1,4,2,No,10845.19,10051.34,0,9,3,11.467654273992302
CA,200,1268.07,69,OTHER,College,Technician,hiking,Vehicle Theft,Rear,Major Damage,Fire,GA,9,2,0,4,No,5642.79,5842.11,0,8,6,4.449904185100192
NY,800,1364.91,31,OTHER,High School,Manager,reading,Single Vehicle Collision,Front,Minor Damage,Fire,NC,19,3,3,0,Yes,12449.67,15259.11,0,9,1,9.121238762995361
MI,700,1454.41,43,OTHER,Masters,Lawyer,chess,Single Vehicle Collision,Side,Total Loss,Fire,FL,6,3,3,0,No,13044.34,14225.71,0,10,2,8.9688189712667
NY,300,761.03,40,OTHER,PhD,Sales,reading,Parked Car,Side,Total Loss,Fire,PA,1,4,1,2,Yes,11462.52,17130.49,0,5,3,15.061850386975548
GA,800,946.52,69,OTHER,College,Manager,hiking,Single Vehicle Collision,Rear,Major Damage,None,PA,13,4,3,5,No,10428.56,18962.92,0,9,6,11.017791488822212
NC,200,915.73,31,FEMALE,PhD,Clerk,hiking,Single Vehicle Collision,Front,Major Damage,Fire,OH,2,4,4,2,Yes,5530.19,8937.55,0,10,4,6.039105413167636
NC,700,1016.48,63,OTHER,Masters,Doctor,movies,Vehicle Theft,Front,Minor Damage,Fire,PA,12,2,0,0,Yes,25262.37,23521.91,1,9,6,24.852795923185894
NC,800,669.88,20,MALE,PhD,Teacher,movies,Multi-vehicle Collision,Side,Major Damage,None,NY,0,4,4,5,No,1719.82,2767.16,0,12,3,2.567355347226369
MI,300,1323.59,23,MALE,Masters,Doctor,camping,Single Vehicle Collision,Unknown,Major Damage,Fire,NY,18,2,4,2,No,8979.46,8632.45,0,11,0,6.78417032464736
OH,800,813.03,45,FEMALE,High School,Manager,reading,Parked Car,Side,Total Loss,Police,FL,5,4,2,1,No,1642.71,1478.09,0,2,5,2.020478949116269
NY,1000,730.48,41,FEMALE,PhD,Clerk,reading,Vehicle Theft,Front,Major Damage,Ambulance,NC,4,3,3,5,Yes,3958.74,7293.3,0,2,0,5.419368086737487
GA,500,833.49,52,OTHER,College,Sales,movies,Parked Car,Front,Major Damage,Police,GA,5,1,4,0,Yes,16395.07,17294.99,0,4,2,19.670385967438122
IL,300,1387.6,30,OTHER,College,Clerk,yachting,Vehicle Theft,Side,Minor Damage,Police,FL,11,1,3,0,No,1749.71,3269.5,0,5,0,1.2609613721533584
GA,500,1083.88,27,MALE,PhD,Teacher,paintball,Multi-vehicle Collision,Front,Major Damage,None,IL,22,4,2,0,Yes,11790.57,12998.97,1,9,3,10.878113813337269
PA,700,1110.16,52,FEMALE,High School,Clerk,chess,Parked Car,Rear,Major Damage,Ambulance,PA,1,2,2,0,No,2134.54,3214.92,0,12,3,1.9227318584708508
OH,800,1331.32,57,FEMALE,College,Sales,reading,Parked Car,Rear,Major Damage,Ambulance,NC,3,4,3,3,Yes,8872.52,17371.54,0,8,3,6.664453324520026
CA,800,882.17,74,MALE,PhD,Technician,hiking,Single Vehicle Collision,Side,Minor Damage,Police,CA,13,4,0,0,Yes,11480.56,19615.06,0,9,0,13.013999569244023
GA,1000,1300.3,69,FEMALE,PhD,Manager,movies,Vehicle Theft,Unknown,Minor Damage,None,NC,13,1,2,2,No,12349.59,17588.49,0,6,0,9.497492886257017
IL,1000,1039.32,36,MALE,Masters,Engineer,paintball,Vehicle Theft,Rear,Major Damage,Police,MI,0,1,2,1,Yes,7253.44,8260.22,0,3,6,6.9790247469499285
MI,300,1168.53,68,OTHER,College,Teacher,camping,Vehicle Theft,Unknown,Total Loss,None,FL,17,1,2,0,Yes,6899.91,12993.02,0,10,0,5.9047777977458855
TX,1000,1156.42,43,FEMALE,Masters,Teacher,yachting,Parked Car,Rear,Total Loss,None,NC,7,4,1,0,No,7085.76,10070.19,0,6,0,6.127323982636066
IL,400,1037.27,53,OTHER,High School,Doctor,yachting,Parked Car,Front,Total Loss,Ambulance,MI,21,2,4,4,No,8047.35,7492.38,0,4,3,7.758201818234404
NC,300,1016.24,34,FEMALE,High School,Lawyer,paintball,Vehicle Theft,Unknown,Major Damage,Police,CA,22,4,3,5,Yes,7088.27,10006.91,0,2,2,6.974996063921909
OH,800,789.08,62,OTHER,Masters,Sales,movies,Vehicle Theft,Rear,Major Damage,Fire,IL,21,2,1,5,Yes,583.4,642.61,0,8,4,0.7393420185532518
OH,400,678.6,71,MALE,College,Engineer,camping,Vehicle Theft,Rear,Major Damage,Police,GA,16,1,1,2,No,12140.02,17818.81,0,3,2,17.88980253463012
CA,800,802.29,66,FEMALE,PhD,Engineer,camping,Parked Car,Front,Minor Damage,Police,NY,9,4,1,1,No,7272.46,6971.04,0,12,2,9.064627503770458
GA,800,688.37,65,MALE,College,Sales,hiking,Single Vehicle Collision,Unknown,Total Loss,Fire,TX,13,1,2,3,No,13586.49,20785.53,0,6,3,19.73719075497189
NY,300,1132.79,21,FEMALE,College,Engineer,reading,Single Vehicle Collision,Side,Minor Damage,Police,CA,18,4,1,2,No,24291.27,22105.14,0,3,2,21.443753917319185
CA,600,706.18,43,FEMALE,College,Technician,movies,Parked Car,Unknown,Minor Damage,Ambulance,NY,12,4,1,1,No,3386.94,3261.09,0,10,3,4.796142626525816
OH,1000,1272.92,25,OTHER,High School,Lawyer,movies,Multi-vehicle Collision,Front,Major Damage,Ambulance,PA,22,4,2,1,No,4375.87,4586.24,1,12,0,3.437663011029758
IL,700,1414.48,45,MALE,Masters,Clerk,hiking,Single Vehicle Collision,Unknown,Major Damage,Ambulance,CA,4,1,0,4,No,10063.73,16751.86,0,8,4,7.11479130139698
NY,600,1276.63,70,OTHER,College,Engineer,yachting,Parked Car,Side,Minor Damage,Fire,CA,16,1,2,0,Yes,6519.84,5605.3,0,3,4,5.107070960262566
GA,700,852.58,34,MALE,High School,Lawyer,reading,Parked Car,Rear,Total Loss,Fire,NY,17,3,4,2,Yes,12068.79,12678.19,1,8,1,14.155610030730255
CA,300,1472.87,55,MALE,College,Lawyer,yachting,Parked Car,Side,Major Damage,None,MI,9,3,0,3,Yes,7955.11,7135.48,0,2,2,5.40109446183302
GA,300,1422.64,54,OTHER,Masters,Clerk,chess,Multi-vehicle Collision,Front,Major Damage,Fire,MI,8,2,4,4,Yes,16639.87,14180.95,0,2,2,11.696472754878252
NC,200,994.71,52,OTHER,College,Teacher,yachting,Parked Car,Side,Major Damage,Ambulance,TX,10,2,0,0,No,5653.72,7232.01,0,2,4,5.683787234470349
MI,700,1235.71,34,FEMALE,College,Clerk,chess,Single Vehicle Collision,Side,Total Loss,None,NC,11,1,0,1,No,2629.92,2210.12,0,11,1,2.1282663408081186
OH,700,1225.7,53,FEMALE,College,Clerk,chess,Vehicle Theft,Side,Major Damage,None,OH,18,3,4,1,No,8777.48,17222.41,0,6,1,7.1611976829566775
NY,500,1011.0,64,FEMALE,PhD,Engineer,camping,Multi-vehicle Collision,Front,Minor Damage,None,GA,3,4,1,0,No,469.03,690.76,1,8,3,0.4639268051434223
NY,500,875.15,50,MALE,PhD,Teacher,chess,Parked Car,Front,Total Loss,Police,IL,15,2,0,0,Yes,10751.84,15529.55,0,6,0,12.285711020967835
GA,600,854.84,25,FEMALE,College,Doctor,movies,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,TX,19,4,4,1,No,7567.46,13284.87,0,3,6,8.852487015113939
NY,700,1406.03,65,OTHER,High School,Technician,yachting,Single Vehicle Collision,Front,Major Damage,Fire,PA,14,3,0,3,No,16938.04,15277.28,1,9,0,12.046713085780532
CA,200,1253.02,19,OTHER,College,Clerk,chess,Single Vehicle Collision,Front,Minor Damage,Ambulance,CA,2,1,3,0,No,13494.76,18350.2,0,6,0,10.769788191728784
TX,600,1433.27,33,MALE,High School,Manager,camping,Vehicle Theft,Front,Total Loss,Ambulance,IL,3,2,2,4,Yes,10169.48,11166.47,0,11,3,7.095299559747989
GA,1000,1497.82,59,OTHER,College,Clerk,reading,Parked Car,Unknown,Major Damage,None,MI,2,1,1,5,Yes,27681.32,23221.18,1,9,3,18.481072492021738
MI,1000,1405.8,29,OTHER,PhD,Doctor,chess,Parked Car,Unknown,Total Loss,Police,NC,3,4,2,1,No,12783.42,24146.03,0,5,1,9.093341869398207
MI,800,1324.19,59,FEMALE,Masters,Lawyer,paintball,Single Vehicle Collision,Unknown,Major Damage,Ambulance,TX,0,3,2,2,No,11993.87,21397.87,0,8,3,9.05751440503251
NY,600,983.66,31,FEMALE,Masters,Teacher,camping,Single Vehicle Collision,Rear,Minor Damage,Fire,CA,1,1,2,3,Yes,7023.99,7069.83,0,8,3,7.14066852367688
TX,500,1360.44,53,FEMALE,High School,Manager,yachting,Single Vehicle Collision,Unknown,Total Loss,Ambulance,OH,5,2,2,5,Yes,12337.89,10709.05,0,12,4,9.069043838758049
MI,600,1166.68,35,OTHER,High School,Manager,reading,Multi-vehicle Collision,Front,Minor Damage,Police,GA,12,3,2,3,Yes,10405.22,19543.37,0,5,2,8.91865807247917
NY,500,1332.75,46,FEMALE,Masters,Engineer,movies,Single Vehicle Collision,Rear,Major Damage,Fire,NY,4,4,4,2,No,6378.21,5978.48,0,11,1,4.785751266178953
GA,500,1381.42,26,MALE,College,Sales,reading,Parked Car,Unknown,Total Loss,Fire,TX,18,3,4,1,Yes,24102.15,24640.41,0,12,0,17.447372993007196
TX,500,1491.48,38,OTHER,Masters,Lawyer,movies,Vehicle Theft,Side,Minor Damage,Police,NY,19,1,2,4,No,23388.93,19651.39,0,3,2,15.681692010620324
NC,800,1275.56,59,MALE,PhD,Sales,reading,Parked Car,Rear,Total Loss,Ambulance,PA,10,4,1,2,Yes,2175.19,2181.76,1,11,1,1.7052823857756594
FL,300,694.59,70,MALE,Masters,Teacher,paintball,Vehicle Theft,Rear,Major Damage,Fire,CA,5,3,4,0,Yes,1287.27,1782.59,0,12,4,1.853280352438129
IL,400,1038.63,43,MALE,Masters,Engineer,chess,Parked Car,Side,Minor Damage,Fire,CA,0,4,3,0,No,1448.23,1644.4,0,4,3,1.3943656547567467
GA,1000,1242.14,43,MALE,PhD,Doctor,hiking,Vehicle Theft,Front,Major Damage,None,NC,10,2,1,4,Yes,3880.48,4210.76,0,11,1,3.1240278873556924
TX,600,1424.24,72,MALE,Masters,Sales,reading,Vehicle Theft,Rear,Major Damage,Ambulance,CA,2,1,4,2,Yes,16039.95,22251.22,0,12,6,11.262111722743358
MI,300,938.53,46,MALE,Masters,Teacher,paintball,Vehicle Theft,Rear,Minor Damage,Ambulance,NC,20,2,1,1,No,17946.49,19226.43,1,10,4,19.12191405708928
TX,400,929.39,62,OTHER,PhD,Sales,paintball,Multi-vehicle Collision,Side,Major Damage,Police,PA,4,4,3,3,Yes,9826.62,9312.12,0,4,1,10.57319316971347
IL,800,817.47,74,MALE,College,Sales,hiking,Multi-vehicle Collision,Rear,Major Damage,Ambulance,PA,22,4,2,3,Yes,11167.01,14783.2,0,3,4,13.660452371340844
OH,800,618.03,54,OTHER,Masters,Engineer,paintball,Parked Car,Rear,Major Damage,Fire,CA,6,4,1,0,Yes,7488.87,12726.68,0,9,0,12.117324401728071
OH,600,1119.66,18,FEMALE,High School,Manager,yachting,Vehicle Theft,Side,Major Damage,Fire,TX,22,1,0,0,Yes,11127.38,11499.47,0,9,1,9.938177661075683
OH,500,729.71,36,MALE,High School,Engineer,camping,Vehicle Theft,Side,Minor Damage,None,GA,8,4,4,4,No,19586.27,18553.75,1,9,0,26.841169779775527
PA,1000,606.82,40,FEMALE,High School,Lawyer,chess,Single Vehicle Collision,Unknown,Major Damage,Ambulance,OH,17,3,0,3,No,6472.53,5670.92,0,9,0,10.66630961405359
TX,400,1093.44,73,FEMALE,Masters,Sales,yachting,Vehicle Theft,Side,Minor Damage,Fire,NC,12,1,0,3,No,13253.27,21518.95,0,12,3,12.120710784313726
TX,600,609.09,40,FEMALE,PhD,Engineer,paintball,Single Vehicle Collision,Side,Minor Damage,Ambulance,PA,6,1,1,3,No,7519.07,9589.5,0,8,4,12.344760216060022
MI,600,1192.68,64,FEMALE,PhD,Doctor,hiking,Vehicle Theft,Front,Minor Damage,Ambulance,CA,0,3,1,2,Yes,2473.84,4318.65,0,3,5,2.0741858671227824
FL,1000,614.7,29,FEMALE,High School,Teacher,reading,Parked Car,Rear,Minor Damage,Ambulance,GA,7,4,3,2,No,9339.2,11854.85,0,12,6,15.193102326338051
OH,600,1008.18,64,FEMALE,College,Clerk,paintball,Multi-vehicle Collision,Unknown,Total Loss,None,NY,0,2,2,3,No,1510.45,1616.19,0,8,2,1.4981947668075146
CA,1000,1043.93,33,MALE,College,Engineer,paintball,Single Vehicle Collision,Side,Major Damage,Ambulance,IL,16,3,1,4,Yes,8861.24,15158.88,0,2,3,8.48834691981263
NC,300,1382.08,27,MALE,Masters,Clerk,hiking,Multi-vehicle Collision,Front,Minor Damage,None,TX,1,4,0,2,No,5380.13,7732.89,0,5,5,3.8927775526742305
NC,600,1429.11,57,FEMALE,PhD,Technician,paintball,Single Vehicle Collision,Unknown,Minor Damage,Ambulance,TX,13,1,3,3,Yes,6890.98,11852.72,0,10,4,4.821868155705299
MI,300,1114.82,65,FEMALE,High School,Sales,paintball,Vehicle Theft,Front,Minor Damage,Police,IL,2,4,0,5,No,16852.54,19745.76,0,7,5,15.116826034696185
PA,500,1225.13,50,MALE,PhD,Lawyer,yachting,Single Vehicle Collision,Rear,Total Loss,None,PA,11,1,1,5,Yes,6939.09,10073.71,0,6,6,5.6639621917674035
OH,500,1149.95,56,FEMALE,College,Lawyer,chess,Vehicle Theft,Rear,Minor Damage,Police,CA,4,2,2,1,No,10276.76,15722.88,0,12,1,8.936701595721553
PA,300,825.86,64,FEMALE,Masters,Teacher,paintball,Parked Car,Front,Major Damage,Police,TX,4,2,3,3,No,18544.9,18837.69,0,11,6,22.455258760564746
NC,200,1094.92,70,FEMALE,High School,Clerk,reading,Vehicle Theft,Side,Minor Damage,None,NC,6,4,0,1,No,21290.02,18950.35,0,6,6,19.444361231870822
TX,500,1418.29,34,FEMALE,Masters,Engineer,movies,Parked Car,Rear,Minor Damage,Fire,MI,7,1,4,3,Yes,7472.51,8395.5,0,10,4,5.268675658715778
GA,400,985.16,34,MALE,Masters,Sales,hiking,Multi-vehicle Collision,Rear,Total Loss,Fire,CA,16,4,1,2,Yes,23907.66,23671.72,1,4,4,24.2677940639084
FL,1000,715.76,73,MALE,College,Teacher,hiking,Parked Car,Side,Minor Damage,Police,CA,18,3,2,1,No,9807.94,11228.77,0,11,2,13.702833351961552
PA,1000,1362.51,42,OTHER,College,Technician,paintball,Multi-vehicle Collision,Front,Total Loss,None,CA,18,2,3,2,Yes,1370.37,1823.85,0,5,4,1.0057687649998899
CA,500,1358.21,18,OTHER,PhD,Manager,hiking,Single Vehicle Collision,Side,Minor Damage,None,PA,22,3,3,0,Yes,709.33,1265.06,0,4,1,0.5222535543104527
IL,600,733.46,19,MALE,PhD,Teacher,paintball,Single Vehicle Collision,Front,Total Loss,None,IL,21,3,0,5,No,3164.15,3141.95,1,6,4,4.314004853707087
IL,500,600.74,68,FEMALE,College,Teacher,chess,Vehicle Theft,Front,Total Loss,Fire,OH,13,2,3,5,No,3850.63,5437.68,0,8,3,6.4098112328128645
CA,400,870.01,18,FEMALE,PhD,Engineer,hiking,Vehicle Theft,Front,Total Loss,Police,NC,10,1,0,1,No,4708.34,6206.33,0,8,3,5.411822852610889
GA,300,879.66,47,MALE,College,Sales,yachting,Vehicle Theft,Front,Major Damage,None,GA,20,3,3,4,No,6668.34,9734.91,0,7,4,7.580587954436942
NY,800,1260.31,55,FEMALE,Masters,Lawyer,paintball,Single Vehicle Collision,Front,Minor Damage,None,NY,17,1,2,2,Yes,9516.22,14922.81,0,11,4,7.550697844181193
OH,400,995.84,62,OTHER,PhD,Engineer,movies,Vehicle Theft,Unknown,Total Loss,Police,TX,17,3,0,3,No,8115.81,12186.42,0,5,4,8.149712805269923
IL,300,1013.53,60,MALE,College,Manager,movies,Vehicle Theft,Front,Total Loss,None,TX,9,4,1,0,Yes,4222.61,4461.85,0,8,5,4.166240762483596
GA,200,974.64,50,MALE,Masters,Doctor,yachting,Multi-vehicle Collision,Side,Minor Damage,None,NY,7,2,0,1,Yes,11662.06,17642.18,0,3,6,11.965505212180908
FL,400,910.82,55,FEMALE,High School,Teacher,hiking,Single Vehicle Collision,Front,Major Damage,Police,IL,7,1,2,1,Yes,9637.52,18978.83,0,11,0,10.581146659054479
PA,200,1313.28,38,OTHER,Masters,Sales,reading,Multi-vehicle Collision,Side,Minor Damage,Police,NY,12,3,2,3,No,18410.47,20796.15,0,1,5,14.018693652534115
NY,200,851.14,66,FEMALE,High School,Teacher,movies,Parked Car,Side,Total Loss,None,CA,15,2,4,5,Yes,1649.68,2745.77,0,3,1,1.9382005310524708
IL,200,1337.31,57,MALE,PhD,Technician,hiking,Vehicle Theft,Side,Major Damage,Ambulance,MI,7,2,0,3,Yes,22500.68,20911.5,0,4,1,16.82532845787439
PA,500,1230.78,23,OTHER,Masters,Teacher,reading,Multi-vehicle Collision,Rear,Minor Damage,None,GA,13,4,4,1,Yes,6734.01,11776.74,0,9,1,5.471335250816556
GA,500,865.96,72,MALE,PhD,Teacher,reading,Single Vehicle Collision,Rear,Minor Damage,Fire,PA,5,2,3,0,Yes,26884.19,24170.05,0,12,1,31.04553328098295
MI,500,1105.63,53,OTHER,PhD,Sales,camping,Parked Car,Rear,Minor Damage,Ambulance,OH,16,1,3,2,No,5654.27,9076.79,0,6,0,5.114070710816457
MI,700,966.94,43,FEMALE,Masters,Manager,hiking,Vehicle Theft,Front,Major Damage,Ambulance,CA,8,4,1,4,No,8569.37,12550.41,0,6,4,8.862359608662379
TX,800,1299.04,50,MALE,PhD,Lawyer,reading,Single Vehicle Collision,Side,Total Loss,Ambulance,NY,8,2,2,5,No,16307.47,16333.95,0,1,2,12.553477952949871
TX,200,941.23,60,MALE,High School,Teacher,chess,Multi-vehicle Collision,Side,Minor Damage,None,IL,19,3,1,5,Yes,26983.62,24570.4,0,9,3,28.668465731011548
